class,text
Neg,@united It is all good -- your 1K team has been nothing short of amazing with everything.
Neg,@united new flight has me at the window. Kind of ticked off. I pick aisle seats only because I hate window seats. #annoyed #EpicFail
Pos,@united good fly!! #United #businessFirst
Neg,.@united Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.
Pos,"=@united Thanks, I made it."
Neutral,=@united past
Pos,=@united Thanks!Just DMed HN.
Neg,=@united is a money sucking airline with terrible terrible customer service
Neg,@united - are you aware your airbus fleet sucks?  I'd rather fly a C-130 full of rubber dog shit.
Neutral,=@united will you be issuing an exception policy for Denver for this weekend?
Neutral,"@united I need a breakdown of what the ""international surcharge"" on my flights cover. Please help"
Neg,@united https://t.co/jpd7NsGRT7. Fyi your staff are telling customers to try other carriers
Neg,@united couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed
Neg,@united no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail
Neutral,@united flight #1051 on 2/23. Thx
Neutral,@united Based on suggestions from other passengers I have a rental car on standby for 11:30.  One way or another will be leaving then.
Neg,@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....
Neg,=@united no wifi on flight  ua688. SF to ORD. Really?  wow
Neutral,@united gives Belfast a #Hug with the new unmissable #BusHug format #impact #busads #thinkbus @BelfastAirport http://t.co/AvbdstJUJS
Neg,@united is the worst http://t.co/27aitZl6nd
Neg,@united haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather
Neg,@united no because you will charge me or delay me further. United 1612 still waiting.
Neutral,"@united @Adam_Karren @zj76 how did you save the $200 on checked snowboard? Trying to check in this morning, website wants $200! (prem.gold)"
Neutral,"@united traveling from FRA thru IAD to MCO tomorrow, concerned abt IAD weather. Can't change until advisory issued? Any advice?"
Neg,@united I did and then she made me feel guilty because it was economy plus and I didn't pay for the extra leg room
Neg,@united my flight Cancelled Flightled new flight 5012 hopefully will not.
Neg,@united #4781 Cancelled Flightled. #5102newflight I will be upset if this one Cancelled Flights too. I could have rented a car if they would have been honest.
Pos,@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!
Pos,"@united Hi, flight 1051. If I try and book a new one way,  flight departure shows up as 3:55pm which seems accurate."
Neg,@united Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.
Neutral,@united Who can I contact about requesting a charity donation? #ThankYou
Neg,@united WTH be honest with your customers.  This better be the last change or we are driving home.  Has our plane left or not!
Neg,@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime
Neutral,=@united I Need a customer service manager to contact me please
Neg,@united Is flight 5001 really going to leave Newark today?  If not tell us now and I will rent a car.  I do not want to end up stranded.
Neg,.@united thanks for the reply. I saw that but it's not particularly helpful to a hungry vegetarian not flying those specific flights. SHRUG.
Neg,=@united So Funny that my boarding pass said priority a because clearly I AM not a priority to this airline
Neg,@united I'm sure you will offer me nothing for the inconvenience you have put me through TWICE this month. Tweets don't cut it
Neg,@united or you'll Cancelled Flight my flight like you just did
Neg,=@united screwing me over TWICE in one month. Learned my lesson. we are through.
Neg,@united what's the point of offering a free checked bag of you lose it?
Neutral,"=@united will do, Cheers"
Pos,@united Please send me the link/email to formally compliment Irene in SLC on some of the best customer service ever. #PaxEx
Pos,@united thnx ^LO :-)
Neutral,"@united yes. Houston Int'l, Bush."
Neutral,@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.
Neg,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!"
Neutral,@united Will do! Thanks!
Neg,=@united education of that staff is needed - he also turned away other first class Cabin passengers with mileage plus.
Neg,@united Item (not mine) mysteriously ended up in my checked bag after a #EWR to #YOW flight.  Missing a black box? http://t.co/SJQEmDtQmA
Neg,@united My guess:flight is going to be Cancelled Flightled because there are 16 empty seats and those who confirmed are not important. #frustrated
Neg,"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers"
Neg,@united I need assistance with pulling your agents' heads out of their asses
Neg,"@united gates were DEFINITELY NOT FULL. We were parked and wheels were chocked. Customer service called it an ""UNMET ARRIVAL""!!"
Neg,=@united @abigailedge another glitch??
Pos,@united in spite of flight delay great customer service provided by Janet and baggage employee Karen. You have 2 wonderful employees United.
Neg,@united I really have a hard time believing that 4 planes in this terminal are all delayed for mechanical issues. #whatgives #dullessucks
Neutral,@United to start 3xdaily @EmbraerSA #ERJ145 flights from #Chicago @fly2ohare to #Evansville on 4JUN #avgeek
Neg,"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !"
Neg,=@united Worst airline ever. Thanks for the slew of rude agents and staff making my delayed flights even worse.
Neg,@united no chance in hell. I'd rather walk. Worst airline ever.
Neg,@United is the worst major US airline.  More proof: they're boarding the plane with the outside galley door open in 0 degree weather.  Wtf?
Neutral,@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-)
Pos,@united always makes our cross country flights rad. @hemispheresmag here's baby flier Charlotte! #8thtime5MonthsOld http://t.co/kCqnwIXUCm
Neg,"@united Too Late Flight, damage has been done. Easily the worst airline experience of my life. Missed two connecting flights &amp; days of work. #UA49"
Neg,@united don't know if you are aware that ALL of your premier access lines are closed in your terminal. I feel the love.
Pos,@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧
Neg,@united disappointed to learn you are now charging $200 to use 20k miles for upgrades on PS JFK flights. Will be looking at alternatives.
Neutral,@united just kidding with you I'll send you my stuff now. Thanks
Neg,@united @FAANews unacceptable practice to leave Cancelled Flighted flight passengers to sleep on cement with no pillows #UA1724 http://t.co/nDTLJ15ZpU
Neg,@united can u get the crew member that we are waiting on? We were told 40 minutes ago they landed here and they are still not to our gate.
Neg,@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!
Neg,=@united I had the Worst customer experience at Houston Intl airport... your ground support even for @staralliance members is a nightmare
Neutral,=@united tremendous. What would you recommend?
Neg,=@united can you help me with a delayed flight as Im going to miss my connection?
Neg,"@united I'm counting on you, please don't let me down! #delayed #again #needtocatchmynextflight #alreadyrebookedonce"
Neg,=@united why is it So impossible to actually get a passenger and their luggage to their final destination?
Pos,@united -huge kudos to the FO of Sunday's flt #1623 sjo-iad. Handed my daughter her first pair of wings! Keeping traditions alive.
Pos,@united awesome new plane flight 1701
Neg,@united #flightdelay on an early craft arrival because pilot is stuck in traffic #fail #nocustomerservice #nocompensation
Neg,"@united  oh united, how much I despise thee!"
Neutral,@united lets see of we can do this today! Hoping for an on-time dept #dullestostatecollege #runningonthreehoursofsleep #delayedovernight
Pos,"@united flt 912. Capt Herman is amazing! Came out before flight to play ""ask the captain anything."" Wonderful ambassador to the airline!!"
Neg,=@united your airline is the BIGGEST joke of an operation in the world.
Neg,@united what is going on with baggage claim in Newark!#tiredandwanttogohome
Neg,=@united usually your lounge staff are fantastic!Except today in MCO where Almost denied entry to lounge even though traveling united-first
Neg,"@united 2.5 hour delay, misplaced bag, poor communication, and the worse: unsympathetic, confrontational gate agent. Not cool!!!"
Neg,@united Why don't you respond to my e-mails of facebook msg?! I'm still wating for my tickets!! I'm getting really angry and disappointed!
Neg,=@united then send your Jeff Smisek on a trip with jetblue Or SW and make sure he Takes notes. I would never choose to fly united again.
Neg,=@united So disappointed in the service and the level of staff communication. such a Bummer.
Neutral,@United pre-dawn flight to #miami from #EWR. Annual #SOBEWFF trip. Now.
Neg,"Thanks @united, great news that u won't refund tickets due to a bad exchange rate. I knew u would come to your senses @gg8929 @UnitedAppeals"
Pos,@united  Thank you for a wonderful global first class flight on your 777 to FRA. Great service. (cont) http://t.co/46n9kDcsxU
Neutral,"=@united got it, look forward to hearing from you soon"
Neg,@united how are you going to rectify this? Please direct me to your complaints department #stickingToDelta
Pos,"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”"
Neg,"=@united to top it all off, your flight attendants talked loudly throug the flight, even when the lights were dimmed. Resulting in no sleep"
Neg,"=@united it seems like no one from united can help me. lots of Fingers pointed, ZERO people stepping up. at least the Gate has Oreos"
Neg,=@united they have access to the dial that makes it faster do they?
Neutral,@united I'll be impressed if I actually get a response! 😜
Neutral,@united hi I left my asus tablet on flight to Heathrow from Newark on 16th feb and wondered how long it takes for someone to check if found?
Neg,"@united 1hr delay at the start, huge queues at security, no representative to meet us, rude staff at baggage reclaim  #inefficient"
Neg,=@united has the Worst flight attendants. they are like those angry and drunk aunts that we all have. everything has to be an argument.
Neg,@united its in black and white. EU law and all that €600 for a Cancelled Flightled flight. I want my money
Neg,=@united accordingly? u dont respond at all
Neg,"@united ""the extra care airline"". #unitedairlines they don't care. Trust me. There #customerservice is non existent. They don't have 1"
Neg,"@united Another unfortunate case of bad luck, usually maintenance issue. They are now swapping planes to ONT, will get in Late Flight. :("
Neg,@united it's a shame the great customer service wasn't continued in SFO. Slightly absurd
Neg,@united #onlyinAmerica. 18 days and not a word from #unitedairlines #customerservices. Bad PR guys.
Neg,"@united still awaiting a reply from ur customer services?  18 days, no response? Lousy #unitedairlines"
Pos,=@united alright Thank you. much appreciated.
Neg,@united has happened on other airlines and they've given out flight vouchers and been more transparent about the problems.
Neg,"@united thanks, I'm booked. Just spent an extra 7 hrs in the TEN w/ no explanation. Now flying middle seat to CHAR instead of Memphis."
Neg,"@united agent Rick Clifton in SEA-HOU , told him my father is dying and needed to get my handbag on the cabin. he did nothing #shameful"
Neutral,=@united Any chance you are allowing reFlight Booking Problems yet for travel out of Denver this weekend due to impending storm?
Neg,we all watched as the crew was escorted from the back to 1st class. Prebooked? Really? @united: @JenniferWalshPR Your dissatisfaction is und
Pos,"@united Thanks Yup I'm all set.  It happens.   SLC ground staff were prompt,  helpful and courteous."
Neg,"There were plenty of empty seats in coach ""@united: Your dissatisfaction is understood. Crew members traveling for duty are pre-booked on f"""
Neg,"@united all good, didn't die or anything. As they say ""you get what you pay for""!"
Pos,=@united Thank you So much. how will you be able to contact me?
Pos,@united maybe on my return trip 👍
Neg,"=@united your staff at LaGuardia and Lagos, Nigeria were unprofessional, uncaring and not helpful. Ou"
Pos,"@united i got it at the gate, thanks for checking!"
Neg,@united U kept passengers waiting all night 4 a plane that was being put out of service.  Leaving everyone stranded for night. #inexcusable
Pos,@united I especially like how you upgraded three of your crew members to first class instead of passengers. #keepitclassy #customerservice
Neutral,=@united hello. I got off a flight a few months ago and constantly think about your peanuts. is there anyway you could send me some?
Neg,@united Flt 359 lax to EWR. Your pilot bragged about getting to EWR early only to wait 20 min for a jetway driver. Thanks United!
Neg,=@united I AM So happy I found my phone because this is easily the Worst system I have ever heard of
Neg,Really? 9+hours???? @united: @JenniferWalshPR We don't like delays and do all we can to avoid them. We'll have you on your way ASAP
Neg,@united @RobBogart After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?
Neutral,@united round trip*
Neg,"@united well. As of yet, our checked bag has already vanished and we haven't left the airport yet."
Neutral,@united thanks.  Not tonight it would seem. http://t.co/WNdcEO5QlK
Neg,@united a rapid trip plane ticket from Idaho to California that doesn't have problems would be wonderful
Neg,@United agent did help me. My point: there's a problem &amp; I don't want it to mess up somebody else's plans. Can u flow this to tech team pls?
Neg,.@united being delayed 3 hours for a one hour flight is more than frustrating. I'm also unable to get a decent meal at this hour.Never again
Pos,"@united please do! She went above and beyond what she had to do, she made us her number one priority!"
Pos,@united you guys are awesome! Thanks!
Pos,=@united thnx
Neg,@united I think we both have the same status (nothing). I think there was a bug in your search system.
Pos,@united Anna Palm Springs gate 19  deserves a medal! Handled 30 ppl missing flights like a pro!
Neg,@united I would appreciate an answer on why we weren't alerted flight had been Cancelled Flighted until plane landed.  #showsomerespect
Neg,@united WTF!?!? Delay after delay. 15 hours YVR to SAN? Unacceptable. Flight Crew Availability is to blame? NEVER AGAIN with @united
Neg,@united I think I left my phone on my flight. Help!
Pos,@united  Great customer service again. Thanks!
Pos,"=@united Thanks, that would be awesome."
Neg,"=@united Hey, left my computer bag, w/computer inside, in united, filed online report, no response"
Neg,@united  they were empty upon takeoff. Why can't someone sit there?
Neg,"@united here is my case id 8473573. Requested on 2/5, now it's 2/19... 7-10 days I'll get a response, BS!"
Pos,=@united nawww. united is my fave airline.
Neg,@united - Thanks. Formed submitted. I'm not betting someone would be honest enough to turn it in though...
Neutral,"=@united I have a lh return business ticket from DEN to Fra.If I fly domestic with you,bag can be checked through to FRA,no Need to claim?"
Neutral,"=@united also, a united phone representative just asked me for my web password. is that normal?"
Neg,"@united €202.88 is the difference between the booked flights, do you want screen shots?"
Neutral,=@united What is your plan to reduce delays?
Neutral,@united I'm searching for flights to redeem with miles and getting different search results with 2 user accounts. Any reason why?
Neg,"@united rebooked 24 hours after original flight, to say your handling of situation was bad would be an understatement."
Neg,@united I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2
Neutral,@United What's your phone number? Customer service question.
Neutral,@united - Kids left a kindle fire HD 6 onboard UA1037 (ORD-SFO) today. Row 9ABC-DEF (we had the whole row amongst the 5 of us).  Help...
Neg,@united understanding the situation we waited and it was opened until 10:30pm
Pos,“@united: @BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. ^EY” 👏👏
Neg,"@united just curious, when are you going to to finally learn #customerservice ?"
Neg,"@united nice 2 see U have a sense of humor. #3hourdelay Just want 2 B home but I'll settle for that beer. Once safely in the air, of course"
Neutral,"@united Surprised to go from 1K last year to nothing this year. What happened to the ""soft landing"" policy of no more than 1 level?"
Neutral,@united (2/2) pay in person at Portland airport. I will be flying from Perth. This has been done by US Air.
Neg,"@united she was at the service desk at gate 21, and helped us find a flight to get us to our dest. on time when our flight got Cancelled Flightled"
Neg,"@united (1/2) thanks, but does not answer my question. I want to make a reservation over the phone in Perth, hold for 24hrs, and have family"
Neg,@united it wasn't a delay so much as a straight Cancelled Flightlation. Weather wasn't an issue either.
Neg,@united thanks for ruining my wedding anniversary. Flight UA4904 from EWR to RDU is delayed by over 3 hours and will reach home the nxt day
Neg,@united Cancelled Flightled my flight for some unknown reason and haven't really given me anything to make my overnight layover tolerable
Neg,=@united the only difference being you are both responsible and in a position to do something about them. learn from @delta
Neg,@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.
Pos,"=@united Thanks, Keep up the good work"
Pos,@united  4 reFlight Booking Problemss in last 2 days and each time united wait time was &lt;5 seconds! Kudos to you for excellent customer service!
Neg,=@united Any solutions?
Neutral,=@united What do you have in mind?
Neg,@united I'm over you. Evry 1st flight I take w/ you is delayed &amp; evry 2nd is on time so its missed evry time. #lastflightofthenight #breakup
Neg,@united I did they did not.  I did submit a complaint on line and never heard back from that - I don't have that ID- you should find it
Neg,@united it is cool. Your customer told me they didn't care either. It is expected
Neg,@United is freaking worthless. I hate this airline. http://t.co/dN1if2cGwE
Neg,@united not once did #US3645 leave #ORD on time this week #shameful
Neg,@united very missed daughter suppose to dpt ORD @5:59pm - dpted  8:30pm -checked week's average for UA3645 -shameful!  7 day average 7:54pm
Neutral,@united I understand why the pilot would get on the plane but why 1st class?  There were 5 empty coach seats near me?  I'm a Premier 1K?
Neg,"@united fantastic night of waiting 3 hours for a delayed airplane, only for you to alert us flight is Cancelled Flighted when it lands. #whatstatus"
Neutral,"@united can someone at the airport in Portland, OR buy a ticket to be picked up and used 2days Late Flightr by other from Perth, AUSTRALIA? Thanks"
Neg,=@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.
Neutral,@united What happens on 9:11 a.m. of 9/11 2spooky 4me m8 such spook much scare
Neg,@united I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞
Pos,=@united sent you my confirmation via DM. Thank you very much
Neg,.@united board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.
Pos,@united that would be great - 1k us651621
Neg,=@united stuck on Tarmac for the last hour. can I have a beer?
Neg,=@united recent services have been very bad. my NC trip was aweful. very disappointed and never again.
Neg,@united it's freezing on the gate bridge#waitingforbags#united#EWR
Neg,@united landed at 9:40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here#tiredcustomer
Neg,=@united @dmb41shows I Need this plane to get to buffalo So I can leave tonight. Any progress?
Neg,"@united I was rebooked, however it would have been nice not to have to wait an extra 90 min at the airport.  How will you make this right?"
Neg,"@united enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match."
Neg,=@united After waiting for over an hour we FINALLY board the airplane only to find out we have to call maintenance. and this plane is cold.😡
Neg,@united broke my suitcase &amp; refuses to give me a repair estimate. http://t.co/zOUOwgv3Q6
Neg,=@united how do you have a scheduled flight with no CREW? is there a competent person working at this airline?
Neg,@united can you help 689 in Chicago get to a gate. Freezing on a runway seems like a crappy thing to do at 9pm
Neutral,"@united @HiltonWorldwide @Caravannyc @MaysvilleNYC 
Let's go! Join me on my first trip back to NYC…as a tourist: 
http://t.co/egaEjtRGLb"
Neg,@united thanks KP.  What's going on w/4840 tonight.  Bad update online and phone. Can't u give customers good info. Not waste their time?!
Pos,=@united just got my lost Kindle in the mail!Thanks again.
Neutral,=@united is z and d code airfare refundable?
Neutral,"@united no, didn't notice I was 38A until start of boarding. Assumed I was 8E. By time boarding started, GAs had cleared standbys, full flt"
Neg,@united 4840 You knew this flight was delayed! MHT to ALB to EWR to get crew. Your arrival is Late Flightr than the departure! Update your site!
Neg,@united 4840 WTF! Why can't you update your times in a timely manner? You've known the fight was more delayed! Ur service is awful! @CNN
Neutral,@united Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!
Neg,@united waiting on plane so long missed my connecting flight it left early. That's the last flight out tonight. HELP http://t.co/hBsJ2sF17h
Neg,@united ORD Gate C25 and Flt 619-  remember when customers were valuable? Is it so hard to be nice to someone lugging a guitar &amp; carryons ?
Neg,@united WORST SERVICE EVER. Denied access to our flight and then moved flight 6 times. How hard is it to schedule a gate? @Delta next time.
Neg,"@united I'm in Denver, my bag is in San Jose. See something wrong here."
Neg,@united you know it's bad when you're praying your connecting flight is delayed because of an hour delay on the first flight #JustGetMeHome
Neg,"@united playing hide and seek with the gate. ""We can't find it, it should only be a few more minutes."""
Neg,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed."
Neutral,@united your flights are really cheap what's the catch
Neutral,@united LGJW7B. I voluntarily rerouted; 1st leg of journey was in economy and was supposed to be 8B. Res agent said she'd reserve it for me
Neg,@united 5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X
Neg,@united stop picking on us #CLE http://t.co/VTqE8m1L3i
Neg,"@united booked flight in sept to get best price for April to usa, checked now and they are €67 cheaper, what a con unhappy customer #ripoff"
Neg,@united too big to properly manage flight times. There is such a thing as being on time. Or at least prepared with a gate when we land!
Neg,@united I'd rather have the truth about my flight than be forced to sit here all day. Trying to get home to this. http://t.co/U69fAfqhsF
Pos,@united Leaving soon. Thanks!
Neg,@united another #DELAYED day. #Delayed outbound. #delayed inbound and now waiting at EWR for a gate to be ready. how is it not ready!??
Neg,=@united Cancelled Flighted my mileage plus award reservation G6455C same day. have yet to see my miles back despite agent confirmation.
Neutral,=@united my partner and I booked individual reservations for same flight. I have Pr. silver -- can he share my Premier privileges somehow?
Neg,@united 3 Gate changes in 30 minutes for flight to Roanoke and flight to sous falls in O'hare... Painful
Neg,@united this is nuts they said a flight was on the ground now it's still in Albany and they won't have a plane.  Someone is compensating me
Neg,"=@united Doumented via link. However, now that it has been over four months with no response, What do you suggest? Or shall I not expect one?"
Neg,@united WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!
Neg,".@united just curious why you'd board a flight without a pilot. Seems crucial to the flight process, no?"
Neutral,@united sent DM's
Neg,@united just changed again.  This is crazy! #YourAgentsHaveNoClue http://t.co/A37N3oHOKL
Neg,@united Never can get a flight out on time. 4 hour delay earlier another hour delay on my connecting flight. Makes 10 straight delays
Neg,@united b/c of your delay now you are oversold by 14 passengers?!??? This is a mess! What are you going to do to compensate?
Neg,@united - blamed weather lol 78 no wind and not a cloud in the sky!! Delayed both ways 4x!! RU kidding me to charge me for 1.5lb w/8 delays?
Neg,@united be worse?oh you can't! delayed with no reason on the way to Lon;flight Cancelled Flighted with NO REASON less than 2 days before returning.
Neg,@united flight 4841...3 gate changes on top of this.  Really hoping you can compensate with some points/mileage to my account!
Neg,@united should contact me and the others on my flight who can't get their website to work. None of our info is valid! http://t.co/3zpJr7kWbk
Neg,=@united over an hour stuck and still not off the plane. total failure by you and your partners in ensuring the Best customer experience.
Neutral,@United line up @iah #IAH @AirlineGeeks #avgeek http://t.co/dJHXvJT201
Neg,=@united silence is very telling
Neg,@united thanks for the 2hr delay and then no ground crew when we landed. At least you didn't break my http://t.co/GCWVFuopl2
Neutral,=@united bought a round trip to Chicago two days ago...today the same flight is half that!Is there Any way for me to get that discount??
Neg,@united Am I illiterate or is there a magic code to make your customer service site work? http://t.co/t4gcKs2bh5
Neg,"=@united Worst airline EVER!Staff is nasty, wifi down bags are delayed due to weather?? and now the belt is broken. Selling ual stock in AM"
Neutral,@United Stars and Bars @iah #A320 @airlineguys @AirlineGeeks #avgeek http://t.co/mWSoGUC33p
Neg,@united I'm confused. After your @Dulles_Airport agents directed us to go to your website after DELAYS nothing works! http://t.co/cypRHe5GOK
Pos,"=@united had wonderful, on time flights from OGG to MSN lost RX eyeglasses (thick) in the Admiral Club in Chicago this morning. Found?"
Neg,@united 50 minute wait...still at the gate with a broken jetway. Might miss connection
Neg,“@united: @RobCNYC See information on our boarding process: http://t.co/gBIw9ugFNm ^KP”. I get group 1&amp;2. Just no reason on 3/5.
Neutral,@united in Bogota with no wallet is no fun. :-(
Neg,@united Lost my wallet on flight 1007 yesterday from Houston to Bogota. Filled out your online form. No response yet.
Neg,@united one hour after departure time and still no update!
Neg,=@united I AM now following you and see that I AM not the only one experiencing and noticing a substantial downgrade in service post merger
Neg,@united 40+ minutes waiting at the gate for the broken jetway. Different gate maybe?
Neg,@united how can you never got a flight from austin to Houston in time for a connection ever? Ever!
Pos,"@united got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as a… http://t.co/lwOtKIEKGU"
Neg,@united now sitting on the tarmac for a half hour after landing because your jetway is broken. #2daysofunitedfailures #1thingafteranother
Neg,=@united look at the twitter history - as usual service non existent
Pos,=@united Thanks for the reply. I have been in contact with customer care to get clarification on this issue.
Neutral,=@united I will give it a couple more weeks. Thank you.
Neg,@united make sure you make Cancelled Flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few $ more
Neg,"@united How is this considered ""on time"" if it's arriving at destination half hour Late Flightr than scheduled? http://t.co/YMFTw1uyHr"
Neg,"@united thanks for trying to take my money without notice. In any other industry, you Cancelled Flight a service, a refund is issued. Cont…"
Neg,=@united and there is no direct phone number for status match desk? I Really regret flight Booking Problems with @united now.
Neg,@united yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail
Neg,=@united still sitting here waiting for a plane....4 hours wasted
Pos,=@united Thanks for the help. wish the phone reps could be So accomidating
Neg,"@united line is just getting longer and moving slower. Lady working the counter is doing great, she just needs help. #customerservicefail"
Neg,@united an update on flight 5979 would be great!
Neg,@united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated
Neg,=@united What is the problem with your flights to NY today
Neg,@united flight was too heavy so had to fly BACK to Palm Springs (after being in the air for 30 mins)
Neg,=@united your boarding process sucks. you should learn from @SouthwestAir
Neg,"@united ouch, delays due to mechanical issues again QRO will have to wait! Yall seem to be falling apart #alwaysdelayed #unitedfail"
Neg,@united my fingers are crossed that they are more capable of getting baggage from point A-&gt;B than United Airlines!
Neg,"@united What happened this afternoon? Huge amt of incoming planes to SFO delayed over 1-2 hours.
Frustrating!"
Neg,@united not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place
Neg,@united can you maybe have more than 1 person working customer service desk in Houston airport? Line 3 rows deep 1 person working
Pos,"@united I'll stick with my United flight. Thanks, though. Effort is much appreciated."
Neg,"@united  Your survey is too long.  I fly a lot of segments and I'll fill it out after every trip, but not if it takes more than a minute."
Neg,@united can you you think about hiring some baggage attendants at EWR? Been waiting for bags for 1 hr. United = overcharged&amp;underserved
Pos,"@united Fair enough. I don't usually rant, but it's good to know someone's listening. :)"
Neg,@united are you telling me that you are now Cancelled Flighting my flight ??
Neg,@united would be hard to be worse than last time but I'm sure you'll give it a shot
Pos,=@united Thank you for the delta transfer. will my bags go too?
Pos,“@united: @SonyaSloanMD Happy to have had you on board. Please share details here: http://t.co/2TrgEMteBZ ^KP” Done!
Neg,@united service staff to is less than friendly!
Neutral,=@united happens every time in and out of Newark.
Neg,=@united can you transfer my bags too?
Neg,=@united I AM a comedian and I promise I will make fun of you on stage tonight.
Neg,"@united tried to and got through the whole 2,000 characters and I was not even done."
Pos,@united we were able to get on the moon flight! Just got to our hotel in Puerto Rico! Thank you!
Neg,@united you had us REBOARD without the captain.  So now we'll be sitting in here for another 20+ min? http://t.co/EEReKDf9Fq
Neg,@united On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?
Pos,=@united @annricord Great!Appreciate it😊
Pos,"@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)"
Pos,=@united Thanks!Everything a-ok now.
Pos,@united DM sent. Thanks so much for the strong customer service!!
Neg,@united just delayed my flight to SLC by 2.5 hours. What gives? #snowforce
Pos,=@united ok Thanks. I sent you a DM too. you can disregard that.
Pos,@united So excited I was put on an earlier flight to get home! Woo Hoo! #travel 🎉🎉🎉
Neg,@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!
Neg,@united More concerned that you close a club I paid alot for at 10.  Last flight 11:15p.  The construction going on is very inconvenient.
Pos,@united perfect! Thank you!
Neg,@united care less about the person - although he walked away while I was complaining.  A man at 10p at LAX club.  More.....
Neg,@united smiling? NOT!!
Neg,"@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!"
Neutral,=@united will I make it with the delay?
Neg,@united @bwood we'd prefer everyone hear our complaints amount your airline
Neg,@united why do you bother surveying me!
Neutral,@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.
Neg,@united worst airline ever after 70+ legs of travel I am officially done.  On time is not in their vocab.  I'm taking my premier status to A
Neutral,=@united looking back - never heard from anyone - I had to call and frankly got standard SOP - still think about it today
Neg,=@united Donna and Juan still the Best in the united Club_ too bad ual does not get it
Neutral,@united I am on 1528 and my connecting flight is 909
Neutral,@united Just got interrogated at the United Club Chicago. #UnitedAirlines #rude #PoorForm
Neg,@united I just want to contact someone with a question &amp; not be put on hold for 5 minutes in order to be hung up on or sent to the pet line
Neutral,@united can I access Frankfurt arrival lounge when I'm flying global first class?
Neg,"=@united keeps delaying my flight, Horrible customer service"
Pos,@united has the best pilots ever Thank you guys for the great trip #thatisall
Neg,=@united - I Really down think downgrading the booze/food selections at the Club is a good way to go.  how about you look @aircanada?
Neg,@united You guys are atrocious.  Far better service as silver on Delta than you as a platinum.  I'll be switching back to delta.
Pos,@united I will thank you!
Pos,@united thanks for making sure they hear the message!
Neutral,@united @NTrustOpen can i go  #GolfUnited
Neutral,=@united I got an email from CUST. care for an issue I had offering me a voucher. how do I claim that? I emailed back but got no reply. DM me
